name,code,city_code,state_code,country_code
Fairview Airport,ZFW,,CA-AB,CA
Hinton/Jasper-Hinton Airport,YJP,,CA-AB,CA
Whatì Airport,YLE,,CA-NT,CA
Grande Cache Airport,YGC,,CA-AB,CA
Drayton Valley Industrial Airport,YDC,,CA-AB,CA
Fort McMurray / Mildred Lake Airport,NML,,CA-AB,CA
St. Paul Airport,ZSP,,CA-AB,CA
Taltheilei Narrows Airport,GSL,,CA-NT,CA
Macmillan Pass Airport,XMP,,CA-YT,CA
Great Bear Lake Airport,DAS,,CA-NT,CA
Fort Mackay / Firebag,YFI,,CA-AB,CA
Wekweètì Airport,YFJ,,CA-NT,CA
Cheadle Airport,TIL,,CA-AB,CA
Okoyo Airport,OKG,,CG-8,CG
Craig Seaplane Base,CGA,,US-AK,US
Cape Gloucester Airport,CGC,,PG-WBK,PG
Casiguran Airport,CGG,,PH-AUR,PH
Chinguetti Airport,CGT,,MR-07,MR
Circle Hot Springs Airport,CHP,,US-AK,US
Chomley Seaplane Base,CIV,,US-AK,US
Laurie River Airport,LRQ,,CA-MB,CA
Hatchet Lake Airport,YDJ,,CA-SK,CA
Kasba Lake Airport,YDU,,CA-NT,CA
Fort Reliance Seaplane Base,YFL,,CA-NT,CA
Cluff Lake Airport,XCL,,CA-SK,CA
